"file","n","rss","k","h","a","b","floor"
"Avocado_120C_a.csv",600,10.3035286754529,-0.979213731151969,-0.00697882138506609,4.84485091707861,4.58763093329806,-60
"Avocado_130C_a.csv",600,4.10381701212379,-0.977101300223117,-0.285001365451494,1.55333594644242,1.33766072794977,-60
"Macadamia_110C_a.csv",600,31.4910888875502,-0.918750322711426,-0.0161453301128002,4.63999501777048,4.30631392602199,-0.5
"Macadamia_110C_b.csv",600,25.2396222860197,-0.979999999999787,0.231873228280723,4.78916615566163,4.38959488015088,-3
"Macadamia_120C_c.csv",600,102.660739913704,-0.566102252304303,0.606429759982484,2.66475894114085,NA,-60
"Macadamia_130C_b.csv",600,22.5877636605862,-0.979999999999485,0.663254440221927,1.2337053217585,NA,-60
"Macadamia_130C_c.csv",600,6.32555660023132,-0.979999999999869,0.532631318572577,1.26399312515509,NA,-60
"Macadamia_140C_b.csv",600,0.751947583265294,0.588717028691411,0.593900089679085,0.93185722348576,NA,-60
"Marula_120C_a.csv",600,459.720457535331,-0.361118946217843,-0.213207421947229,17.2210508235157,17.185298884775,-3
"Marula_120C_b.csv",600,707.869189564236,-0.157627044551234,-0.387584152097337,16.6242249742202,17.0711657366776,-60
"Moringa_120C_a.csv",600,410.058570574194,-0.979999999999135,0.80883611942038,8.20396287986751,NA,-60
"Moringa_120C_b.csv",600,277.693746594155,-0.979999999999766,0.777267679885469,8.25606053416821,NA,-60
"Moringa_130C_c.csv",600,27.5541082283041,-0.979999999999462,0.0250493833765429,2.13646494201192,1.92757519762896,-0.5
"Moringa_140C_c.csv",600,5.13890774120697,-0.979999999999866,0.413134707731739,0.933078209118998,0.595943574926996,-60
